validators,clients,deposit,reward,tau,runtime,remainder_sink,rand_period,seed,ipfs_fail_rate,intent_cap,fee_policy,round_index,balances_sum,entitlements_sum,pools_sum,locked_deposits,treasury,conserved_money,blocks_applied,txs_applied,avg_txs_per_block,avg_fee_per_tx,unique_eligibilities,missed_proposals,forks_observed,fees_charged,fees_distributed,rounds,alloc_total,refund_total,forfeit_total,remainder_total,included_total,refunds_count_total,ml_rounds,ml_last_acc_before,ml_last_acc_after,ml_impr_sum,ml_clients_used_sum
3,5,20,1000,0.8,12.0,treasury,8,123,0.0,3,proposer,1,1908,0,0,100,2,2010,21,28,1.3333,1.357143,21,0,20,38,38,1,998,100,0,2,5,5,0,0.000,0.000,0.0000,0
3,5,20,1000,0.8,12.0,model_pool,8,123,0.0,3,proposer,2,1908,0,2,100,0,2010,21,44,2.0952,1.363636,21,0,20,60,60,2,998,200,0,4,10,10,0,0.000,0.000,0.0000,0
3,5,20,1000,0.8,12.0,burn,8,123,0.0,3,proposer,1,1908,0,0,100,0,2008,21,28,1.3333,1.357143,21,0,20,38,38,1,998,100,0,2,5,5,0,0.000,0.000,0.0000,0
3,5,20,1000,0.8,12.0,treasury,8,123,0.0,3,treasury,1,1870,0,0,100,40,2010,21,28,1.3333,1.357143,21,0,20,38,0,1,998,100,0,2,5,5,0,0.000,0.000,0.0000,0
3,5,20,1000,0.8,12.0,model_pool,8,123,0.0,3,treasury,2,1848,0,2,100,60,2010,21,44,2.0952,1.363636,21,0,20,60,0,2,998,200,0,4,10,10,0,0.000,0.000,0.0000,0
3,5,20,1000,0.8,12.0,burn,8,123,0.0,3,treasury,1,1870,0,0,100,38,2008,21,28,1.3333,1.357143,21,0,20,38,0,1,998,100,0,2,5,5,0,0.000,0.000,0.0000,0
3,5,20,1000,0.8,12.0,treasury,8,123,0.0,3,split,1,1887,0,0,100,23,2010,21,28,1.3333,1.357143,21,0,20,38,17,1,998,100,0,2,5,5,0,0.000,0.000,0.0000,0
3,5,20,1000,0.8,12.0,model_pool,8,123,0.0,3,split,2,1875,0,2,100,33,2010,21,44,2.0952,1.363636,21,0,20,60,27,2,998,200,0,4,10,10,0,0.000,0.000,0.0000,0
3,5,20,1000,0.8,12.0,burn,8,123,0.0,3,split,1,1887,0,0,100,21,2008,21,28,1.3333,1.357143,21,0,20,38,17,1,998,100,0,2,5,5,0,0.000,0.000,0.0000,0
